ApName,Super Build／SS7,,,,,,,,,,,,,,,,
Version,1. 1. 1.14,,,,,,,,,,,,,,,,
工事名,（仮称）巨勢町賃貸マンション新築工事,,,,,,,,,,,,,,,,
略称,巨勢町賃貸マンション,,,,,,,,,,,,,,,,
結果名,結果1,,,,,,,,,,,,,,,,
出力日時,2020/9/1 9:25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎フーチング材料,,,,,,,,,,,,,,,,,
材料,Fc,長期許容応力度,,,短期許容応力度,,,,,,,,,,,,
,または,圧縮,引張,せん断,圧縮,引張,せん断,付着(fb),,,,,,,,,
1FL,7,D,P1,2,107.8,92.6,648,167.6,107.8,92.6,648,167.6,<RE>,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=G+P,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,0.3,-0.9,-38.4,7.3,32.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,41.4,38.3,-66.2,53.7,63.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,66.3,36.2,-65.3,62.8,62.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,65.7,38.3,-61.8,63.3,61.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,61.9,33,-76.2,59.8,65.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,77.4,51.4,-4,73.4,44,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,0.3,-0.4,-40.9,8.1,35.2,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,42.9,37.9,-65.9,54.1,63.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,66,36.6,-65.6,62.7,62.6,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,65.9,38.4,-62.1,63.4,61.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,62,33.2,-76.4,59.9,65.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,77.5,51.5,-4.2,73.4,44.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,15.1,0,20.1,17.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,11.5,107.2,102.7,64.6,22.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,-102.7,34.7,-69.8,-37,81.5,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,60.6,-24.1,0,43.6,-20.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,-13.3,-39.2,-6.3,34.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,50.7,141.3,148.1,97.5,33.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,-148.1,55,-84.6,-47.5,106.8,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,72.9,-29.6,0,51.1,-24.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,74,191.9,-82.3,112,114.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,74.4,194.3,-82.5,112.9,114.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,74.5,194.3,-82.4,112.9,114.9,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,A,B,FCG1,1,1715,上部,0,-19.9,-52.7,-12.6,41.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,B,D,FG11,1,7871,上部,74.3,191.9,-82,112.1,114.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,6,D,E,FCG1,1,1815,上部,60.3,-22.7,0,45,-13.3,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,A,B,FCG1,1,1715,上部,0,-13.3,-39.2,-6.3,34.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,B,D,FG11,1,7871,上部,49.7,139.2,-55.2,83,84.4,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,7,D,E,FCG1,1,1815,上部,44.6,-15.1,0,37.1,-6.7,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
name=基礎梁応力表,case=S,,,,,,,,,,,,,,,,
層,ﾌﾚｰﾑ,軸－軸,,符号,分割,部材長,タイプ,左端M,中央M,右端M,左端Q,右端Q,左端T,右端T,,,
,,,,,№,mm,,kNm,kNm,kNm,kN,kN,kNm,kNm,,,
<data>,,,,,,,,,,,,,,,,,
1FL,B,1,2,FG1,1,3000,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,2,3,FG1,1,4995,上部,0.1,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,3,4,FG1,1,5200,上部,-0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,4,5,FG1,1,5200,上部,0.1,-0.1,-0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,5,6,FG1,1,5200,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,B,6,7,FG2,1,4995,上部,-0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,1,2,FG1,1,3000,上部,-0.1,0.1,0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,2,3,FG1,1,4995,上部,0.1,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,3,4,FG1,1,5200,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,4,5,FG1,1,5200,上部,0.1,-0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,5,6,FG1,1,5200,上部,0.1,0.1,0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,D,6,7,FG2,1,4995,上部,0.1,-0.1,-0.1,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,E,1,2,FB1,1,3000,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,B,C,FG11,1,5036,上部,0.2,-0.2,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,C,D,FG11,1,2836,上部,0.2,-0.2,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,1,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,B,C,FG11,1,5036,上部,0.1,-0.1,-0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,C,D,FG11,1,2836,上部,0.1,-0.1,-0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,2,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,B,D,FG11,1,7871,上部,0.2,-0.1,-0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,3,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,B,D,FG11,1,7871,上部,0.2,-0.2,-0.1,0.1,-0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,4,D,E,FCG1,1,1815,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,A,B,FCG1,1,1715,上部,0,0,0,0,0,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
1FL,5,B,D,FG11,1,7871,上部,0.2,-0.2,-0.2,-0.1,0.1,0,0,,,
,,,,,,,偏心,0,0,0,0,0,0,0,<RE>,,
